episode,reward
99,3.5
100,3.61
101,3.77
102,3.79
103,3.88
104,3.98
105,4.05
106,4.07
107,4.13
108,4.23
109,4.37
110,4.42
111,4.48
112,4.54
113,4.61
114,4.68
115,4.76
116,4.88
117,4.94
118,4.98
119,5.09
120,5.13
121,5.2
122,5.28
123,5.37
124,5.45
125,5.52
126,5.56
127,5.64
128,5.74
129,5.88
130,5.9
131,5.96
132,6.04
133,6.08
134,6.17
135,6.25
136,6.38
137,6.41
138,6.42
139,6.47
140,6.55
141,6.53
142,6.61
143,6.7
144,6.79
145,6.85
146,6.93
147,7.03
148,7.07
149,7.15
150,7.25
151,7.29
152,7.38
153,7.37
154,7.46
155,7.6
156,7.63
157,7.7
158,7.75
159,7.87
160,7.89
161,7.94
162,8.03
163,8.1
164,8.18
165,8.23
166,8.29
167,8.39
168,8.4
169,8.47
170,8.47
171,8.48
172,8.52
173,8.54
174,8.6
175,8.62
176,8.63
177,8.72
178,8.72
179,8.82
180,8.91
181,8.98
182,9.0
183,9.12
184,9.17
185,9.23
186,9.29
187,9.36
188,9.43
189,9.43
190,9.53
191,9.61
192,9.67
193,9.77
194,9.8
195,9.81
196,9.87
197,9.86
198,9.85
199,9.88
200,9.8
201,9.77
202,9.84
203,9.87
204,9.91
205,9.94
206,9.94
207,9.97
208,9.96
209,10.01
210,10.08
211,10.12
212,10.15
213,10.2
214,10.17
215,10.18
216,10.17
217,10.21
218,10.25
219,10.26
220,10.32
221,10.4
222,10.46
223,10.42
224,10.48
225,10.43
226,10.54
227,10.56
228,10.56
229,10.5
230,10.57
231,10.5
232,10.59
233,10.68
234,10.72
235,10.7
236,10.66
237,10.68
238,10.81
239,10.83
240,10.85
241,10.88
242,10.89
243,11.0
244,11.01
245,11.02
246,11.0
247,11.02
248,11.01
249,11.04
250,11.03
251,11.1
252,11.13
253,11.16
254,11.18
255,11.17
256,11.23
257,11.27
258,11.35
259,11.36
260,11.3
261,11.3
262,11.3
263,11.35
264,11.35
265,11.45
266,11.46
267,11.47
268,11.47
269,11.42
270,11.5
271,11.59
272,11.69
273,11.77
274,11.81
275,11.87
276,11.9
277,11.86
278,11.96
279,11.91
280,11.98
281,11.98
282,12.01
283,11.98
284,12.07
285,12.08
286,12.1
287,12.17
288,12.25
289,12.24
290,12.3
291,12.3
292,12.33
293,12.21
294,12.31
295,12.36
296,12.32
297,12.38
298,12.45
299,12.51
300,12.62
301,12.62
302,12.62
303,12.65
304,12.61
305,12.65
306,12.76
307,12.83
308,12.89
309,12.86
310,12.9
311,12.94
312,12.97
313,13.01
314,13.11
315,13.22
316,13.25
317,13.33
318,13.4
319,13.46
320,13.49
321,13.52
322,13.56
323,13.62
324,13.56
325,13.68
326,13.6
327,13.57
328,13.64
329,13.65
330,13.63
331,13.75
332,13.72
333,13.63
334,13.67
335,13.66
336,13.66
337,13.62
338,13.59
