episode,reward
99,0.32
100,0.3
101,0.3
102,0.31
103,0.32
104,0.33
105,0.35
106,0.36
107,0.39
108,0.38
109,0.38
110,0.39
111,0.41
112,0.43
113,0.42
114,0.41
115,0.45
116,0.41
117,0.41
118,0.38
119,0.37
120,0.37
121,0.36
122,0.33
123,0.31
124,0.3
125,0.3
126,0.28
127,0.28
128,0.28
129,0.29
130,0.28
131,0.27
132,0.29
133,0.29
134,0.32
135,0.32
136,0.34
137,0.38
138,0.38
139,0.37
140,0.36
141,0.33
142,0.33
143,0.33
144,0.35
145,0.32
146,0.32
147,0.35
148,0.31
149,0.32
150,0.31
151,0.28
152,0.25
153,0.25
154,0.23
155,0.21
156,0.2
157,0.22
158,0.22
159,0.24
160,0.22
161,0.2
162,0.21
163,0.2
164,0.23
165,0.24
166,0.29
167,0.27
168,0.28
169,0.33
170,0.35
171,0.35
172,0.36
173,0.36
174,0.37
175,0.35
176,0.33
177,0.32
178,0.31
179,0.32
180,0.34
181,0.32
182,0.32
183,0.32
184,0.32
185,0.34
186,0.36
187,0.36
188,0.35
189,0.36
190,0.36
191,0.35
192,0.33
193,0.32
194,0.33
195,0.34
196,0.36
197,0.36
198,0.4
199,0.43
200,0.52
201,0.55
202,0.57
203,0.57
204,0.57
205,0.56
206,0.55
207,0.56
208,0.58
209,0.57
210,0.62
211,0.62
212,0.62
213,0.61
214,0.6
215,0.57
216,0.59
217,0.61
218,0.64
219,0.67
220,0.68
221,0.69
222,0.72
223,0.75
224,0.76
225,0.82
226,0.86
227,0.87
228,0.89
229,0.93
230,0.94
231,0.94
232,0.95
233,0.97
234,0.96
235,0.96
236,0.97
237,0.99
238,0.98
239,0.97
240,1.03
241,1.03
242,1.03
243,1.05
244,1.08
245,1.13
246,1.12
247,1.08
248,1.08
249,1.09
250,1.1
251,1.16
252,1.19
253,1.21
254,1.22
255,1.27
256,1.29
257,1.29
258,1.28
259,1.34
260,1.32
261,1.35
262,1.39
263,1.4
264,1.41
265,1.43
266,1.42
267,1.43
268,1.51
269,1.47
270,1.46
271,1.46
272,1.5
273,1.52
274,1.52
275,1.6
276,1.6
277,1.63
278,1.67
279,1.72
280,1.71
281,1.71
282,1.72
283,1.76
284,1.79
285,1.81
286,1.86
287,1.89
288,1.92
289,1.89
290,1.95
291,2.05
292,2.05
293,2.12
294,2.17
295,2.18
296,2.19
297,2.2
298,2.24
299,2.21
300,2.19
301,2.23
302,2.27
303,2.35
304,2.35
305,2.38
306,2.42
307,2.44
308,2.48
309,2.49
310,2.44
311,2.49
312,2.59
313,2.66
314,2.68
315,2.7
316,2.71
317,2.72
318,2.81
319,2.81
320,2.88
321,2.88
322,2.9
323,2.94
324,3.03
325,2.99
326,2.98
327,3.01
328,2.99
329,2.95
330,2.99
331,2.99
332,3.0
333,3.03
334,3.04
335,3.07
336,3.08
337,3.11
338,3.13
339,3.18
340,3.17
341,3.2
342,3.26
343,3.25
344,3.23
345,3.18
346,3.24
347,3.27
348,3.31
349,3.34
350,3.42
351,3.43
352,3.45
353,3.45
354,3.45
355,3.45
356,3.46
357,3.43
358,3.49
359,3.48
360,3.51
361,3.56
362,3.54
363,3.64
364,3.72
365,3.74
366,3.74
367,3.83
368,3.85
369,3.91
370,3.95
371,3.99
372,3.99
373,4.06
374,4.09
375,4.01
376,4.06
377,4.03
378,4.0
379,4.0
380,4.02
381,4.01
382,4.06
383,4.04
384,4.1
385,4.17
386,4.17
387,4.29
388,4.36
389,4.47
390,4.56
391,4.5
392,4.61
393,4.54
394,4.57
