episode,reward
99,3.3
100,3.38
101,3.42
102,3.44
103,3.48
104,3.55
105,3.57
106,3.58
107,3.64
108,3.7
109,3.8
110,3.93
111,4.04
112,4.08
113,4.14
114,4.23
115,4.37
116,4.46
117,4.56
118,4.63
119,4.71
120,4.77
121,4.86
122,4.95
123,5.04
124,5.01
125,5.07
126,5.13
127,5.23
128,5.3
129,5.4
130,5.44
131,5.58
132,5.63
133,5.69
134,5.77
135,5.8
136,5.92
137,5.99
138,6.06
139,6.11
140,6.16
141,6.24
142,6.32
143,6.34
144,6.43
145,6.43
146,6.52
147,6.59
148,6.66
149,6.75
150,6.83
151,6.85
152,6.9
153,6.89
154,6.95
155,6.96
156,7.03
157,7.08
158,7.18
159,7.2
160,7.28
161,7.28
162,7.27
163,7.33
164,7.3
165,7.33
166,7.33
167,7.33
168,7.4
169,7.46
170,7.47
171,7.58
172,7.67
173,7.67
174,7.72
175,7.78
176,7.74
177,7.78
178,7.74
179,7.82
180,7.83
181,7.88
182,7.89
183,7.97
184,8.01
185,8.02
186,8.0
187,8.03
188,8.02
189,8.07
190,8.09
191,8.13
192,8.12
193,8.14
194,8.16
195,8.22
196,8.27
197,8.31
198,8.39
199,8.44
200,8.5
201,8.59
202,8.67
203,8.71
204,8.76
205,8.79
206,8.79
207,8.79
208,8.87
209,8.91
210,8.91
211,8.87
212,8.92
213,8.93
214,8.94
215,8.93
216,8.95
217,8.94
218,8.99
219,9.0
220,9.1
221,9.08
222,9.06
223,9.11
224,9.18
225,9.13
226,9.12
227,9.14
228,9.2
229,9.2
230,9.23
231,9.25
232,9.36
233,9.4
234,9.47
235,9.52
236,9.5
237,9.49
238,9.53
239,9.53
240,9.65
241,9.65
242,9.67
243,9.72
244,9.74
245,9.79
246,9.7
247,9.73
248,9.7
249,9.63
250,9.65
251,9.64
252,9.66
253,9.67
254,9.59
255,9.61
256,9.62
257,9.6
258,9.62
259,9.6
260,9.61
261,9.66
262,9.8
263,9.83
264,9.91
265,9.96
266,10.03
267,10.07
268,10.0
269,10.01
270,10.05
271,10.06
272,10.04
273,10.17
274,10.24
275,10.3
276,10.3
277,10.2
278,10.29
279,10.33
280,10.43
281,10.43
282,10.52
283,10.42
284,10.46
285,10.49
286,10.59
287,10.66
288,10.76
289,10.74
290,10.82
291,10.85
292,10.96
293,10.97
294,11.03
295,10.99
296,11.04
297,11.09
298,11.05
299,11.1
300,11.01
301,10.98
302,10.98
303,10.98
304,10.9
305,10.97
306,11.05
307,11.09
308,11.04
309,11.02
310,10.97
311,11.06
312,11.1
313,11.07
314,11.0
315,10.98
316,10.96
317,10.99
318,11.02
319,11.01
320,10.96
321,10.99
322,11.03
323,11.04
324,11.15
325,11.24
326,11.3
