episode,reward
99,0.32
100,0.32
101,0.37
102,0.4
103,0.42
104,0.48
105,0.53
106,0.56
107,0.56
108,0.54
109,0.55
110,0.54
111,0.56
112,0.58
113,0.61
114,0.67
115,0.66
116,0.71
117,0.73
118,0.73
119,0.78
120,0.78
121,0.8
122,0.85
123,0.86
124,0.87
125,0.85
126,0.89
127,0.97
128,1.0
129,1.0
130,0.97
131,1.0
132,1.0
133,1.05
134,1.07
135,1.16
136,1.23
137,1.26
138,1.25
139,1.28
140,1.3
141,1.3
142,1.34
143,1.35
144,1.34
145,1.33
146,1.33
147,1.34
148,1.36
149,1.37
150,1.39
151,1.39
152,1.42
153,1.43
154,1.45
155,1.48
156,1.52
157,1.55
158,1.64
159,1.62
160,1.66
161,1.72
162,1.7
163,1.76
164,1.75
165,1.87
166,1.91
167,1.95
168,1.94
169,1.95
170,2.0
171,2.05
172,2.08
173,2.13
174,2.16
175,2.21
176,2.24
177,2.29
178,2.28
179,2.33
180,2.32
181,2.33
182,2.35
183,2.35
184,2.4
185,2.45
186,2.54
187,2.68
188,2.69
189,2.69
190,2.78
191,2.8
192,2.83
193,2.87
194,2.95
195,2.96
196,2.97
197,3.01
198,3.13
199,3.17
200,3.25
201,3.29
202,3.31
203,3.35
204,3.33
205,3.34
206,3.36
207,3.44
208,3.51
209,3.53
210,3.58
211,3.64
212,3.64
213,3.68
214,3.69
215,3.74
216,3.76
217,3.84
218,3.88
219,3.88
220,3.88
221,3.92
222,3.94
223,3.99
224,4.04
225,4.11
226,4.09
227,4.05
228,4.16
229,4.22
230,4.31
231,4.33
232,4.37
233,4.35
234,4.38
235,4.33
236,4.33
237,4.42
238,4.44
239,4.49
240,4.55
241,4.65
242,4.68
243,4.79
244,4.92
245,5.01
246,5.16
247,5.16
248,5.18
249,5.27
250,5.34
251,5.4
252,5.48
253,5.55
254,5.66
255,5.67
256,5.73
257,5.76
258,5.72
259,5.77
260,5.75
261,5.72
262,5.77
263,5.77
264,5.79
265,5.76
266,5.72
267,5.77
268,5.89
269,5.91
270,5.84
271,5.85
272,5.9
273,5.97
274,6.03
275,6.02
276,6.05
277,6.07
278,6.21
279,6.28
280,6.31
281,6.4
282,6.48
283,6.54
284,6.6
285,6.61
286,6.66
287,6.61
288,6.66
289,6.72
290,6.77
291,6.86
292,6.84
293,6.81
294,6.81
295,6.99
296,6.96
297,7.03
298,7.03
299,6.98
300,7.01
301,7.0
302,7.1
303,7.08
304,7.11
305,7.16
306,7.24
307,7.18
308,7.2
309,7.25
310,7.25
311,7.3
312,7.34
313,7.33
314,7.36
315,7.39
316,7.47
317,7.57
318,7.64
319,7.72
320,7.78
321,7.75
322,7.84
323,7.91
324,7.99
325,8.09
326,8.15
327,8.29
328,8.32
329,8.38
330,8.43
331,8.46
332,8.47
333,8.55
334,8.55
335,8.65
336,8.65
337,8.59
338,8.73
339,8.75
340,8.8
341,8.81
342,8.85
343,8.78
344,8.69
345,8.76
346,8.7
347,8.79
348,8.91
349,8.94
350,8.86
351,8.93
352,8.91
353,8.92
354,8.91
355,8.95
356,8.9
357,9.01
358,9.12
359,9.23
360,9.28
361,9.26
362,9.33
363,9.4
364,9.49
365,9.55
366,9.62
367,9.66
368,9.59
369,9.62
370,9.74
371,9.81
372,9.83
373,9.91
374,9.97
375,9.98
376,10.02
377,10.11
378,10.05
379,10.0
380,10.14
381,10.16
382,10.19
383,10.24
384,10.2
385,10.18
386,10.13
387,10.2
388,10.16
389,10.17
390,10.14
391,10.13
392,10.29
393,10.4
394,10.4
395,10.37
396,10.48
397,10.55
398,10.52
399,10.58
400,10.58
401,10.61
402,10.52
403,10.58
404,10.74
405,10.82
406,10.77
407,10.88
408,10.91
409,10.89
410,11.0
411,10.99
412,11.07
413,11.11
414,11.17
415,11.16
416,11.07
417,10.96
418,11.07
419,11.07
420,11.13
421,11.25
422,11.12
423,11.02
424,10.87
425,10.79
426,10.8
427,10.82
428,10.84
429,10.74
430,10.69
431,10.7
432,10.76
433,10.84
434,10.86
435,10.91
436,10.99
437,11.02
438,11.06
439,11.05
440,11.09
441,11.12
442,11.17
443,11.26
444,11.25
445,11.23
446,11.24
447,11.27
448,11.18
449,11.23
450,11.36
451,11.37
452,11.4
453,11.35
454,11.36
455,11.45
456,11.52
457,11.52
458,11.53
459,11.57
460,11.57
461,11.7
462,11.62
463,11.64
464,11.66
465,11.64
466,11.7
467,11.75
468,11.9
469,11.95
470,11.93
471,11.82
472,11.77
473,11.7
474,11.65
475,11.66
476,11.59
477,11.55
478,11.54
479,11.44
480,11.35
481,11.38
482,11.44
483,11.44
484,11.52
485,11.54
486,11.62
487,11.63
488,11.72
489,11.69
490,11.77
491,11.67
492,11.57
493,11.49
494,11.57
495,11.54
496,11.59
497,11.6
498,11.53
499,11.59
500,11.55
501,11.54
502,11.63
503,11.59
504,11.57
505,11.49
506,11.57
507,11.61
508,11.55
509,11.68
510,11.59
511,11.59
512,11.55
513,11.46
514,11.38
515,11.47
516,11.54
517,11.63
518,11.57
519,11.56
520,11.59
521,11.53
522,11.67
523,11.8
524,11.93
525,12.0
526,12.09
527,12.0
528,12.01
529,12.07
530,12.08
531,11.98
532,12.0
533,11.97
534,12.03
535,12.04
536,12.01
537,12.03
538,11.91
539,12.02
540,11.96
541,11.94
542,11.98
543,12.01
544,12.09
545,12.01
546,12.02
547,12.02
548,12.12
549,12.04
550,11.98
551,11.9
552,11.88
553,12.0
554,11.95
555,11.91
556,11.94
557,11.9
